threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
Targeted Attack,DT,-0.008445936279423768,-0.019750880070154065,-0.0598673841962347,SNG,0.0598673841962347
Targeted Attack,RA,0.0010727424071924803,-0.01251532593284844,-0.057857812543554786,SNG,0.057857812543554786
Targeted Attack,NS,0.001994751167864073,-0.011681287522695335,-0.05120617302864434,SNG,0.05120617302864434
Ransomware,NLP/LLM,-6.661923319634111e-06,-0.01169765004699854,-0.04963276463569144,SNG,0.04963276463569144
Adversarial Attack,ML/DL,-0.018437661046921378,-0.02022231581692439,-0.047492878730384276,SNG,0.047492878730384276
Zero-day,NLP/LLM,0.00725508758236959,0.005180599349052535,-0.04474466731445409,SNG,0.04474466731445409
Disinformation,ML/DL,-0.008767249081013062,-0.015149912143729821,-0.041471367783976414,SNG,0.041471367783976414
Targeted Attack,UBA,0.015067919807294087,-0.013786670675638824,-0.03683159948665693,SNG,0.03683159948665693
Malware,NLP/LLM,0.052580011141587495,0.04393607264283474,0.03623698459222388,SNG,0.03623698459222388
Ransomware,ML/DL,-0.009664819103566777,-0.014596840861686796,-0.03096755374789188,SNG,0.03096755374789188
Targeted Attack,NLP/LLM,0.012619857274989904,-0.003907879298416517,-0.029922321626082892,SNG,0.029922321626082892
Phishing,MFA,-0.01630079325369031,-0.02247853908332111,-0.02865492388496141,SNG,0.02865492388496141
Insider Threat,AT,0.036001185539296966,0.03327431320909918,0.025795195258927317,SNG,0.025795195258927317
Backdoor,PT,0.006398969854270298,0.003401862160760457,-0.025117534827995763,SNG,0.025117534827995763
IoT Device Attack,BC,0.03389527408795209,0.029616092681665623,0.023746052671388018,SNG,0.023746052671388018
Malware,DB,0.044843778523141725,0.03921390977089617,0.02331905216198483,SNG,0.02331905216198483
IoT Device Attack,MS,0.03498570152601546,0.030984735264728946,0.021422121110373653,SNG,0.021422121110373653
MITM,BC,0.023455637296751125,0.02066436020231834,0.020397279499316617,SNG,0.020397279499316617
Backdoor,AD,0.011648537965889846,0.010025977547375359,-0.02010518470256037,SNG,0.02010518470256037
Phishing,PKI,-0.013139177154355938,-0.01458685337168327,-0.01812348843277013,SNG,0.01812348843277013
Targeted Attack,IDS/IPS,0.00920713433721381,0.004871125555571463,-0.0175430747891539,SNG,0.0175430747891539
Insider Threat,CR,0.027902702914749822,0.026539454215617275,0.0162500412462602,SNG,0.0162500412462602
IoT Device Attack,CR,0.03345416672250398,0.029910697664744773,0.015865616536752652,SNG,0.015865616536752652
Brute Force Attack,PH,0.03203397687451099,0.027594187046253892,0.015820673932616297,SNG,0.015820673932616297
Brute Force Attack,CR,0.033859746211578556,0.02634874790837949,0.015361487576805824,SNG,0.015361487576805824
Malware,BC,0.04004616384343498,0.03248285286914801,0.015358086301528065,SNG,0.015358086301528065
